City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
550,Leninskoye,41.7589,69.3864,72.14,35,50,1.7,KZ,2022-04-16 03:50:57
551,Lancaster,40.2504,-76.2499,58.5,46,0,16.11,US,2022-04-16 03:50:57
552,Kango,0.1943,10.0951,74.64,97,100,1.43,GA,2022-04-16 03:50:58
553,Grindavik,63.8424,-22.4338,46.87,93,100,36.82,IS,2022-04-16 03:50:58
554,Bafq,31.6128,55.4107,75.87,25,59,1.68,IR,2022-04-16 03:50:58
555,Nabire,-3.3667,135.4833,84.11,77,87,5.32,ID,2022-04-16 03:50:59
556,Fandriana,-20.2333,47.3833,61.75,90,93,1.23,MG,2022-04-16 03:50:59
557,Itacoatiara,-3.1431,-58.4442,73.45,98,100,2.28,BR,2022-04-16 03:50:59
558,Laela,-8.5667,32.05,58.35,95,90,1.28,TZ,2022-04-16 03:51:00
559,Broken Hill,-31.95,141.4333,80.31,24,0,9.22,AU,2022-04-16 03:51:00
560,Bengkulu,-3.8004,102.2655,84.97,64,100,4.21,ID,2022-04-16 03:51:01
561,Grand Gaube,-20.0064,57.6608,77.4,84,81,7.0,MU,2022-04-16 03:51:01
562,Nazarovo,56.0064,90.3914,49.28,66,97,6.58,RU,2022-04-16 03:51:02
563,Iqaluit,63.7506,-68.5145,-2.47,71,20,6.91,CA,2022-04-16 03:51:02
564,Rio Verde De Mato Grosso,-18.9181,-54.8442,68.49,75,1,7.83,BR,2022-04-16 03:51:02
565,Tigil,57.8,158.6667,29.41,85,99,11.74,RU,2022-04-16 03:51:03
