City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Kudahuvadhoo,MV,83.35,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
80,Sur,OM,86.05,clear sky,22.5667,59.5289,Sur Plaza Hotel
88,Vao,NC,76.6,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
89,Tautira,PF,80.08,light rain,-17.7333,-149.15,Pension Oaoa
92,Gulbarga,IN,85.66,overcast clouds,17.3333,76.8333,OYO 37176 N K Comforts
93,San Patricio,US,89.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
100,Atar,MR,82.24,clear sky,20.5169,-13.0499,Oumou Elghoura
101,Isangel,VU,84.09,few clouds,-19.55,169.2667,Tanna Lodge
113,Victor Rosales,MX,84.38,broken clouds,22.95,-102.7,Yolis Gaeta
115,Faanui,PF,81.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Wahiawa,US,75.52,overcast clouds,21.5028,-158.0236,The Inn At Schofield
121,Kieta,PG,82.8,light rain,-6.2167,155.6333,Uruna Bay Retreat
122,Batticaloa,LK,79.07,broken clouds,7.7102,81.6924,Grand Star Guest House
123,Saint-Pierre,RE,75.9,broken clouds,-21.3393,55.4781,Lindsey Hôtel
127,Omboue,GA,77.61,light rain,-1.5746,9.2618,Hotel Olako
129,Jevargi,IN,86.9,overcast clouds,17.0167,76.7667,Khamadhenu Hotel
132,Bengkulu,ID,76.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
133,Maraba,BR,78.98,few clouds,-5.3686,-49.1178,Hotel Del Principe
137,Tevaitoa,PF,81.21,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
140,Iralaya,HN,80.92,broken clouds,15.0,-83.2333,Iglesia morava renovada
142,Hithadhoo,MV,82.9,broken clouds,-0.6,73.0833,Scoop Guest House
145,Dingle,PH,78.28,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
146,Lamu,KE,81.39,overcast clouds,-2.2717,40.902,Lamu House
148,Tual,ID,83.77,light rain,-5.6667,132.75,Grand Vilia Hotel
159,Sanand,IN,82.62,clear sky,22.9833,72.3833,OYO Flagship 22887 Hotel Prerna Narmada Vasahat
160,Atambua,ID,75.56,broken clouds,-9.1061,124.8925,Kost Alfa Flat
165,Lorengau,PG,83.07,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
166,Butaritari,KI,81.59,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
168,Porbandar,IN,79.57,clear sky,21.6422,69.6093,Lords Inn Porbandar
171,Harper,LR,78.57,light rain,4.375,-7.7169,Screensaver
173,Bosaso,SO,83.48,clear sky,11.2842,49.1816,Red Sea Hotel
176,Mount Isa,AU,78.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
178,Akyab,MM,78.89,few clouds,20.15,92.9,Hotel Memory
180,Kalmunai,LK,78.87,overcast clouds,7.4167,81.8167,VS Villa
181,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
183,Sao Jose Da Coroa Grande,BR,81.03,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
196,Saint George,US,79.39,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
197,Thongwa,MM,80.76,scattered clouds,16.7619,96.5278,Mhaw Wun Marlar Park
199,Touros,BR,80.44,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
200,Jaisalmer,IN,81.45,broken clouds,26.9147,70.9181,Hotel Fifu
202,Meulaboh,ID,77.32,scattered clouds,4.1363,96.1285,Kost Pria
207,Samarai,PG,82.24,overcast clouds,-10.6167,150.6667,Nuli Sapi
216,Weligama,LK,79.39,broken clouds,5.9667,80.4167,Weligama Bay Resort
217,Kavieng,PG,83.71,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
218,Wajid,SO,78.76,overcast clouds,3.8093,43.2471,xamdihotelresturant114
222,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
224,Acarau,BR,79.02,broken clouds,-2.8856,-40.12,castelo pizzaria
225,Mandvi,IN,79.02,clear sky,22.8333,69.3667,Jitendra Guest House
230,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
232,Carutapera,BR,77.34,overcast clouds,-1.195,-46.02,Lidera
237,Santo Domingo,DO,82.08,broken clouds,18.5001,-69.9886,Cabañas City Heart
244,Benguela,AO,76.75,light rain,-12.5763,13.4055,Hotel Praia Morena
264,Buala,SB,82.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
266,Xuddur,SO,78.98,overcast clouds,4.1213,43.8894,Banjanay Hotel
270,Chiang Klang,TH,78.75,scattered clouds,19.2938,100.8617,Sangthong Resort
280,Gainesville,US,84.09,clear sky,29.6516,-82.3248,Wyndham Garden Gainesville
282,Mahibadhoo,MV,83.86,broken clouds,3.7833,72.9667,Omadhoo Inn
286,Yorosso,ML,76.87,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
