City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Castro,BR,-24.7911,-50.0119,53.4,87,0,3.13,clear sky
159,Sanand,IN,22.9833,72.3833,82.62,52,0,6.55,clear sky
160,Atambua,ID,-9.1061,124.8925,75.56,85,81,2.37,broken clouds
161,Ilulissat,GL,69.2167,-51.1,-3.51,92,4,4.94,clear sky
162,Zalantun,CN,48.0,122.7167,39.02,30,85,4.34,overcast clouds
163,Requena,ES,39.4883,-1.1004,55.53,55,22,4.21,few clouds
164,Khorixas,NA,-20.3667,14.9667,68.67,47,10,0.58,clear sky
165,Lorengau,PG,-2.0226,147.2712,83.07,76,34,5.77,scattered clouds
166,Butaritari,KI,3.0707,172.7902,81.59,77,26,13.15,scattered clouds
167,Severo-Yeniseyskiy,RU,60.3725,93.0408,38.12,94,100,11.95,overcast clouds
168,Porbandar,IN,21.6422,69.6093,79.57,73,0,9.24,clear sky
169,Ulaangom,MN,49.9811,92.0667,36.91,37,1,1.19,clear sky
170,Portland,US,45.5234,-122.6762,55.53,62,92,10.0,overcast clouds
171,Harper,LR,4.375,-7.7169,78.57,84,98,4.76,light rain
172,Kasongo-Lunda,CD,-6.4667,16.8167,70.18,97,66,0.51,light rain
173,Bosaso,SO,11.2842,49.1816,83.48,62,4,6.44,clear sky
174,Rutana,BI,-3.8667,30.1,55.83,90,62,2.53,broken clouds
175,Te Anau,NZ,-45.4167,167.7167,47.89,70,97,1.52,overcast clouds
176,Mount Isa,AU,-20.7333,139.5,78.57,25,19,3.44,few clouds
177,Erenhot,CN,43.6475,111.9767,44.49,30,91,5.93,overcast clouds
178,Akyab,MM,20.15,92.9,78.89,82,17,1.28,few clouds
179,Hasaki,JP,35.7333,140.8333,50.4,55,85,7.94,overcast clouds
180,Kalmunai,LK,7.4167,81.8167,78.87,87,86,9.78,overcast clouds
181,Vila Velha,BR,-20.3297,-40.2925,76.95,77,75,9.22,broken clouds
182,Adrar,MR,20.5022,-10.0711,80.24,13,0,12.35,clear sky
183,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.03,83,9,10.87,clear sky
184,Yining,CN,29.0361,114.5636,51.33,88,95,1.01,overcast clouds
185,Show Low,US,34.2542,-110.0298,68.29,12,0,25.32,clear sky
186,Podgornoye,RU,51.735,39.1496,44.82,100,100,8.95,overcast clouds
187,Krasnoselkup,RU,65.7,82.4667,20.73,92,100,18.5,overcast clouds
188,Khatanga,RU,71.9667,102.5,17.35,97,97,6.44,overcast clouds
189,Honningsvag,NO,70.9821,25.9704,38.95,87,100,34.52,light intensity drizzle
190,Faro,PT,37.0194,-7.9322,68.97,77,0,8.05,clear sky
191,Aklavik,CA,68.2191,-135.0107,17.6,45,0,9.22,clear sky
192,Vzmorye,RU,54.6961,20.2361,37.49,90,72,6.53,broken clouds
193,Nome,US,64.5011,-165.4064,34.16,69,100,20.71,overcast clouds
194,Kristiinankaupunki,FI,62.2743,21.376,32.18,93,47,5.75,scattered clouds
195,Semirom,IR,31.4167,51.5667,44.74,70,0,4.68,clear sky
196,Saint George,US,37.1041,-113.5841,79.39,14,40,33.38,haze
197,Thongwa,MM,16.7619,96.5278,80.76,72,48,3.83,scattered clouds
198,Marawi,PH,7.9986,124.2928,71.49,87,16,0.67,few clouds
199,Touros,BR,-5.1989,-35.4608,80.44,80,59,7.31,broken clouds
200,Jaisalmer,IN,26.9147,70.9181,81.45,45,57,18.21,broken clouds
201,Kremsmunster,AT,48.0529,14.1292,40.15,75,44,0.31,scattered clouds
202,Meulaboh,ID,4.1363,96.1285,77.32,88,41,3.2,scattered clouds
203,Shugurovo,RU,54.5083,52.1326,34.48,82,80,7.47,broken clouds
204,Inhambane,MZ,-23.865,35.3833,73.11,89,96,8.05,light rain
205,Gusinoye Ozero,RU,51.1144,106.2614,37.9,65,34,4.07,scattered clouds
206,Vulcan,RO,45.3833,23.2667,41.5,90,85,5.3,overcast clouds
207,Samarai,PG,-10.6167,150.6667,82.24,75,100,4.9,overcast clouds
208,Arman,RU,59.7,150.1667,23.02,67,18,5.93,few clouds
209,Mpophomeni,ZA,-29.5682,30.1862,49.57,98,100,1.1,overcast clouds
210,Szczytno,PL,53.5626,20.9875,35.53,80,0,8.05,clear sky
211,Kirando,TZ,-7.4167,30.6,71.29,89,100,4.12,moderate rain
212,Tiksi,RU,71.6872,128.8694,-2.69,94,56,4.92,broken clouds
213,Oranjemund,NA,-28.55,16.4333,57.51,82,0,7.0,clear sky
214,Albacete,ES,38.8333,-2.0,61.18,71,0,3.44,clear sky
215,Chokurdakh,RU,70.6333,147.9167,0.05,95,95,2.73,overcast clouds
216,Weligama,LK,5.9667,80.4167,79.39,84,81,4.12,broken clouds
217,Kavieng,PG,-2.5744,150.7967,83.71,73,39,9.28,scattered clouds
218,Wajid,SO,3.8093,43.2471,78.76,70,100,13.42,overcast clouds
219,Saskylakh,RU,71.9167,114.0833,14.7,93,99,17.4,overcast clouds
220,Yakima,US,46.4665,-120.6678,44.85,79,100,2.95,overcast clouds
221,Paita,PE,-5.0892,-81.1144,70.2,77,20,18.66,few clouds
